t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,DEBT,PDEBT,PROD,MK,EMP,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROFITS_G,WAGE_G,DEBT_G,PDEBT_G,PROD_G,MK_G,U,Profit_Share,Wage_Share
1,192.7755083,161.9412188,1.647465614,27.53935833,1.317972491,4.942396842,3.624424351,320,13.76967917,3.75,61.77996053,103.4561895,59.13935576,1.421085472e-14,1,1.5,275.3935833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1393950521,0.3738888889,0.6261111111
2,184.98958,161.9412188,1.482719053,27.53935833,3.576683171,3.947450288,0.403638742,310,12.592116,3.75,62.4738445,95.01701231,98.95590294,0.1648916196,1.123246963,1.5,243.7603833,-0.01009714407,-3.330669074e-16,8.775316638e-16,-0.1,3.870148646e-16,1.713776801,-0.201308512,-0.8886336966,-0.03125,-0.08551856267,0.01123153793,-0.08157247242,0.6732665019,11603216190000,0.1232469632,7.401486831e-16,0.1293707262,0.3966823584,0.603319712
3,187.7521233,160.0462872,2.423736225,28.1552754,5.82401489,4.075929015,-1.667348783,305.6871276,11.48611411,3.667968445,66.24186719,94.15630252,120.1607519,3.09857633,1.168436761,1.533332883,233.0571602,-0.01661230778,0,-0.011701354,0.6346564246,0.0223649754,0.6434324495,0.03266302869,-5.157450681,-0.01391249147,-0.08771204197,0.06031923011,-0.00898944486,0.2145220335,19.26138581,0.04023508925,0.02222192175,0.09813880454,0.4130104829,0.5872683791
4,188.9583405,158.6615229,3.067144517,26.96467451,10.47222741,4.021613136,-6.017019581,293.4782243,8.672398977,3.669417918,62.44311156,99.54704267,138.6588532,3.087293604,1.187178965,1.499479729,224.8203143,-0.02167114402,-0.02227343699,-0.008651736428,0.2654621222,-0.0422864501,0.8208348639,-0.01306484275,2.854144837,-0.0399391754,-0.2395570962,-0.05635188797,0.05728402032,0.1543457391,0.01000404153,0.01606043256,-0.02207766551,0.08077343128,0.3855171393,0.6151862787
5,187.2336028,157.855315,4.848495145,27.04079073,12.98984019,4.189655659,-8.513631438,284.4395776,8.964188742,3.659138159,60.86573823,99.58440146,154.6183609,4.178966297,1.192797243,1.504343744,224.3189808,-0.02898720324,-0.02170562899,-0.004948460525,0.581087142,0.002824371248,0.288047968,0.04353797953,0.4527826669,-0.03079818774,0.0343060422,-0.02270290655,0.0008258394454,0.116411077,0.3677490202,0.004741915162,0.003243975627,0.05218803219,0.3794283655,0.622814758
6,185.9931865,156.805562,4.73199657,27.13372847,15.12495046,4.064909423,-8.698737974,276.3373957,10.38039463,3.646691742,60.18295225,99.25641611,168.1325855,6.92151628,1.193120901,1.500744754,222.24611,-0.01781093258,-0.0243270517,-0.006617475476,-0.02349552202,0.003456293712,0.1904657401,-0.02891858971,0.3198248401,-0.0284836834,0.2026152012,-0.003242652506,-0.002978912024,0.08742028915,0.7246374631,0.0002857875199,-0.002385342579,0.03200753871,0.3779794115,0.6273355493
7,185.6415971,157.4380564,2.769868307,27.22215287,19.15399361,3.721116404,-11.25104828,283.6508106,8.303588378,3.63491208,61.3322888,98.01169113,165.2366636,11.98813395,1.198677008,1.502224995,217.1791589,-0.01531323241,-0.02751272047,0.004099215917,-0.4146498263,0.003285043286,0.4783590362,-0.06908148872,0.7615286973,0.02681785991,-0.1252917335,0.03775694259,-0.01150447719,-0.01006798199,0.7535797261,0.004816816202,0.0009863377104,0.02396376871,0.3849097914,0.6210186795
8,187.8939785,157.4026885,4.781941955,26.0861387,11.59431143,4.138675009,-5.667367277,291.1895609,7.553481364,3.636215287,60.8343695,100.2979599,169.193751,9.058025144,1.197188066,1.499442716,224.3131153,-0.01142063847,-0.008416506737,0.0009024889126,2.20070787,-0.04158316631,-0.2760480008,0.1347249279,-0.3804382516,0.0300468175,-0.008402305158,0.007484088738,0.02334735765,0.02552516058,-0.214719121,0.001558341373,0.0006163131171,0.05890846467,0.378686379,0.6259476018
9,187.009203,157.1894304,6.344514755,26.04659644,14.90462503,4.414799383,-6.197347412,298.9650632,7.861174668,3.643130283,60.27614171,100.0566439,174.8216613,6.758528065,1.193989451,1.499598972,225.197289,-0.005695236768,-0.008710611713,-0.001140273113,0.8426632437,-0.001327487316,0.4440222523,0.1201102042,0.7417219457,0.02808084487,0.1760627703,-0.002173042554,0.01493163946,0.04727582935,-0.2432429036,-0.001687279769,0.000114407053,0.08779372199,0.3761019866,0.6303149874
10,189.8198576,157.1196976,7.523128706,26.0051016,10.87525856,4.820215469,-3.514957554,317.771108,9.260290322,3.650914429,60.52246174,102.2043023,176.0518691,2.378202214,1.191324377,1.499506944,232.0037948,-0.0006118316118,-0.005042391419,3.840344783e-05,0.4040232227,-0.001525578931,-0.1573537346,0.1203249523,-0.2812643479,0.07091200855,0.2272046832,0.02563584509,0.02395939731,0.01289434742,-0.6481183194,-0.001414785933,0.0002248716766,0.08345721104,0.3747141132,0.631260362
