,GDP (output),Consumption,Investment,Gov. Expend.,Imports,Exports,Net Exports,Inflation,Profit,Wages,Profit Share,Wage Share,Markup,Profit Rate,Productivity,Capacity Utilization,Inventories,Capital Stock,Unemployment,Employment,Capital-Labor Ratio,Consumption (Share of GDP),Investment (Share of GDP),Government Expenses (Share of GDP),Net Exports (Share of GDP),Inventories (Share of GDP),Capital Stock (Share of GDP)
avg. growth rate,0.0014842991182,0.00214539865796,-0.034953617712,0,-0.092754836407,0,-0.092754836407,0.016271363989,-0.0117608191458,0.0161954828477,0.64119339252,0.35880660748,-0.006545592289,0.15120004695,0.00656371758787,0.80231096523,-0.024369108204,-0.00226696073594,0.20176232525,-0.009003002142,809.6614009,0.93068397943,0.047510043677,0,-0.0355220332546,0.113044998835,4.2565238716
 (s.e.),0.00312731214588301,0.00207600717078849,0.0427062890393589,0,0.0640326169012197,0,0.0640326169012197,0.000770184481912799,0.00357515458609982,0.00305768563293422,0.00149456631890576,0.00149456631890576,0.000763652603587274,0.00304960766737039,0.00114960875166909,0.0494085586363132,0.0246937022761216,0.00468634657591575,0.0185603127198686,0.00255130115323843,36.5840445249408,0.00475960565545341,0.00577426969539364,0,0.00843561975627563,0.00958353592158057,0.0876606785797213
ADF test (logs),-1.52382321598059,-1.7728316749021,-1.92310786182333,NA,-3.24483899210438,NA,NA,-1.28012730780785,-1.45507366221248,-1.42974986407553,-4.4947239966616,-4.49472399666159,-1.64758240032077,-2.80545185764714,-2.27540996699707,-3.0736978734948,-2.75242386215761,-1.94682248720306,-2.95360410906176,-1.74525203183088,-2.16864552013036,-2.42423074633556,-2.16926331736619,NA,-2.77108816718185,-2.78934778431407,-2.74457432919155
 (s.e.),0.140906512555317,0.175421123248932,0.232972022216715,NA,0.182782369723251,NA,NA,0.142586740211304,0.132431109081195,0.170896388843799,0.25781990096116,0.257819900961151,0.145149788388713,0.219747723968093,0.175867221270773,0.245964976459628,0.114286197496561,0.165184323603164,0.21491394333463,0.144907186838932,0.160380726041297,0.0962602312072604,0.211512022112175,NA,0.140793598333452,0.15574387670516,0.237355243590816
 (p-val.),0.754372791373578,0.650625159205177,0.589375637347809,NA,0.144797032862595,NA,NA,0.842173609714679,0.780620763584684,0.775100547265581,0.0179377728780053,0.0179377728780049,0.714670095178561,0.268816538432575,0.460959655763523,0.194300292858153,0.263198456224868,0.590413654303905,0.218226461106198,0.668367346549788,0.506054562678566,0.398101097617553,0.502708346561279,NA,0.265347394177768,0.25986855789437,0.291786037013655
 (s.e.),0.0434615870019986,0.0575948457579449,0.0866250191596646,NA,0.0430441909812631,NA,NA,0.0441690356811025,0.0376912879717757,0.0425164428596245,0.00753965457774203,0.00753965457774192,0.0549874698109732,0.0821496226885996,0.074282368385366,0.0858357072790286,0.046552464506575,0.0634664841034874,0.0755134702377895,0.04854360335989,0.0677412202662233,0.0406581619003867,0.081212849290089,NA,0.0513056732136396,0.0596479232876112,0.0919277356435138
 s.d. (bpf),0.0107640868629472,0.0125899294957162,0.129753207688077,0,0.363902564514371,0,0,0.00162113424294569,0.0112385566558341,0.0121692011857417,0,0,0.000754153333512358,0.0026170792232931,0.00348310669740318,0.0154541631765631,0.157722645750449,0.0162637629229395,0.0121501378690105,0.014165023699529,0.0169863012101172,0.00921584498610129,0.00578586028024228,0,0.0194150184235533,0.0120875041777755,0.0660179278778139
 (s.e.),0.000189986244997757,0.000225932624819894,0.00257167821034046,0,0.00268436423273768,0,0,4.17190602497923e-05,0.000191148554515667,0.000183842691506309,0,0,1.52322146326544e-05,7.40577789291485e-05,6.21900703875505e-05,0.000550504308892792,0.00265796735249272,0.000434365544738166,0.000103484296507849,0.000216547416529636,0.000473832170787614,0.000102975873990251,0.000129087332551652,0,0.000290262397113699,0.000161622106664213,0.00164052316461365
 relative s.d. (GDP),1,1.16962355061014,12.0542698456589,0,33.8071003279451,0,0,0.150605830627962,1.04407896358772,1.13053725231736,0,0,0.070061988825857,0.243130630272204,0.323585896486302,1.43571520495254,14.652673074701,1.51092824965243,1.12876624127166,1.3159521917543,1.57805315270992,0.856165980769318,0.537515197890008,0,1.80368466649827,1.12294747633298,6.1331656570949
