,GDP (output),Consumption,Investment,Gov. Expend.,Imports,Exports,Net Exports,Inflation,Profit,Wages,Profit Share,Wage Share,Markup,Profit Rate,Productivity,Capacity Utilization,Inventories,Capital Stock,Unemployment,Employment,Capital-Labor Ratio,Consumption (Share of GDP),Investment (Share of GDP),Government Expenses (Share of GDP),Net Exports (Share of GDP),Inventories (Share of GDP),Capital Stock (Share of GDP)
avg. growth rate,0.02250747435,0.00764848333843,0.043643744373,0,0.0641373938245,0,0.0641373938245,0.017281591439,-0.00059645813531,0.028923698973,0.64376742072,0.35623257928,-0.0074378302209,0.18158595519,0.0048778927578,0.97709046745,-0.0156507929253,0.0054656334484,0.038041360811,-0.000175491955343,741.02905235,0.89509320637,0.06517224012,0,-0.086073113639,0.048664579023,3.5460771672
 (s.e.),0.00185332111284829,0.00136101916577501,0.0347327929154257,0,0.0527537121981698,0,0.0527537121981698,0.000469009063511792,0.0018560066294634,0.00102441751419235,0.000740672595378939,0.000740672595378937,0.000384484964313268,0.000969115484874295,0.000506196124951072,0.00212574910659431,0.0395822533584705,0.00173146738752536,0.00309295039717166,0.00100533555864429,11.1545219170405,0.00212559717186254,0.00141213276381212,0,0.00414918486588513,0.00311417327513111,0.0176770004417441
ADF test (logs),-1.61243393583954,-2.1642119068932,-2.19427100316587,NA,-4.75747835114707,NA,NA,-0.324612812155392,-1.38725025984569,-1.53910168063933,-3.16381167735234,-3.16381167735238,-0.570599376367448,-4.57679652657754,-2.30502694356396,-5.22282147283138,-3.27906840923229,-2.23964838295255,-5.15393576569044,-1.51805945152835,-2.52480837376725,-2.34368900434862,-2.53642213354001,NA,-3.33872787224825,-4.07197321176263,-4.84273735752568
 (s.e.),0.117082587732826,0.252454775774939,0.121092939645413,NA,0.356948661606753,NA,NA,0.29116995601962,0.11816300127173,0.133217864951763,0.13943870080264,0.139438700802628,0.16224953867204,0.202976066333518,0.193912325600275,0.242794810357973,0.234047869468542,0.234774063835922,0.234795703076722,0.128465932516623,0.267375467735376,0.212671751295324,0.143545457939626,NA,0.270425203467936,0.274928378815754,0.263774290858438
 (p-val.),0.737749733632108,0.527064848694888,0.495230933595545,NA,0.0410010197426882,NA,NA,0.943404562818831,0.813670907169387,0.758671927094041,0.141086641227685,0.141086641227675,0.962730288119884,0.0127214487890655,0.463871749516676,0.01,0.157411742886206,0.493799230423514,0.0106939216464119,0.768333389924841,0.398729861061326,0.456450187479865,0.352960019534928,NA,0.169371990450988,0.0692991172052471,0.0126749757770362
 (s.e.),0.0480007848206245,0.0955519458669481,0.0511469407807282,NA,0.0310010197426882,NA,NA,0.0219263884918962,0.0422209753712993,0.0506667815409453,0.0341149216012531,0.0341149216012369,0.00874665075057311,0.00219506322696102,0.0705073936913081,0,0.0596689702933624,0.0888634793989193,0.000693921646411916,0.0486949174233431,0.0890613123007418,0.0712963839422645,0.0594742456898717,NA,0.0604486072889808,0.0390825486672572,0.00179881192914204
 s.d. (bpf),0.00454490383831899,0.00644518558576681,0.0681832233185455,0,0.157944758258335,0,0,0.00066228298633632,0.00540399045564674,0.00440573576816588,0,0,0.000334803027996092,0.00136890398719294,0.00154777238395765,0.00478355920840974,0.144838685631848,0.00705798053746501,0.00446147589877989,0.00495411780272775,0.0065855718817701,0.00492723031091703,0.00376672773422668,0,0.0152065053744955,0.00687847644375405,0.0266220978097867
 (s.e.),8.91666180297241e-05,0.000124096503476088,0.00138682588674091,0,0.00352990431079882,0,0,1.35950382931435e-05,9.65115534559681e-05,8.72107614447646e-05,0,0,5.43919681039818e-06,2.87460056680362e-05,2.91170281617952e-05,9.16986764997861e-05,0.00157482792850865,0.000137876530142636,8.98773083604804e-05,9.98566386133161e-05,0.000145864379837433,7.61985339143912e-05,7.13051370060258e-05,0,0.000281616666733717,0.000107548846188746,0.00057017726295908
 relative s.d. (GDP),1,1.41811264111381,15.0021267212915,0,34.7520572221289,0,0,0.145719911772936,1.189021956875,0.969379314699741,0,0,0.073665591155813,0.301195368678967,0.340551184143452,1.05251054336477,31.8683718697598,1.5529438660413,0.98164362932485,1.0900379807728,1.44900136857591,1.08412201582233,0.828780512905169,0,3.34583654912264,1.51344818030257,5.85757119552904
