,GDP (output),Consumption,Investment,Gov. Expend.,Imports,Exports,Net Exports,Inflation,Profit,Wages,Profit Share,Wage Share,Markup,Profit Rate,Productivity,Capacity Utilization,Inventories,Capital Stock,Unemployment,Employment,Capital-Labor Ratio,Consumption (Share of GDP),Investment (Share of GDP),Government Expenses (Share of GDP),Net Exports (Share of GDP),Inventories (Share of GDP),Capital Stock (Share of GDP)
avg. growth rate,0.0161488424508,0.00342386467342,-0.1057462568167,0,0.18497569133,0,0.18497569133,0.0107274121138,-0.0048349670909,0.0089843396297,0.5813700326,0.4186299674,-0.00291594256288,0.1336565516,0.00103709415674,0.81637421859,0.004475606474,0.000106997329966,0.22450253723,0.00099889781961,31.249157346,0.97079207187,0.025466928093,0,-0.0144281930813,0.15940736822,4.3554224265
 (s.e.),0.00296431916707063,0.00108044678352527,0.0249667996300651,0,0.262128568642866,0,0.262128568642866,0.000678273967420412,0.00340600996954972,0.00432240484797615,0.00071762046777568,0.000717620467775675,0.000606813798317574,0.00160991173200325,0.000744385228584664,0.00547788655198004,0.0102191112190066,0.00323432950163605,0.00555852420140995,0.00327099496790224,0.490702472838478,0.00330503695402088,0.00201664796051089,0,0.00316529782552446,0.00196767955307398,0.0528195722199749
ADF test (logs),-2.7470152157079,-2.70278626354961,-4.20449818346659,NA,-5.70017794318891,NA,NA,2.07708496359212,-3.33700446118297,-3.02138240331018,-6.22200730753527,-6.22200730753508,-1.47339786000935,-3.57898058679056,-1.41822575630823,-4.15048120106781,-7.2019637298371,-2.8981183572981,-3.12865374698211,-2.53489198516236,-1.84017283311203,-4.11266184574262,-4.13279200834688,NA,-5.7946927215946,-7.94754676402466,-3.50837688545275
 (s.e.),0.104076791364849,0.169996508271776,0.155110240286936,NA,0.138190762418211,NA,NA,0.89794991222515,0.0996316127956389,0.15737630272742,0.473123220372281,0.473123220372266,0.219493546692397,0.204138707742121,0.0774169213357547,0.225199791951586,0.425847157105096,0.200821916089484,0.159223721987485,0.127020386494705,0.185142436815593,0.151275384365098,0.121455855243101,NA,0.1581701607057,0.338431707933166,0.185650919621848
 (p-val.),0.273327119652317,0.302807373590363,0.0160541117999952,NA,0.01,NA,NA,0.908852095033238,0.080544054381942,0.192151431490043,0.0136853150484202,0.0136853150484202,0.750381181153188,0.082831865400181,0.814698718860019,0.0234635565604219,0.01,0.24573077254631,0.150643431284404,0.355562583390939,0.63067909885337,0.0181757107899316,0.0146774899120278,NA,0.01,0.01,0.0899909497803456
 (s.e.),0.0345474302562587,0.0568503218540041,0.00317345836953014,NA,0,NA,NA,0.0772560473476788,0.01595285439845,0.0444787179637181,0.00368531504842016,0.00368531504842021,0.0736469647179289,0.0325366293243932,0.0288342122712852,0.00545185675199841,0,0.065523124268223,0.0379603371415832,0.0511348243178448,0.0706291209997309,0.00452157489777508,0.00326584800073245,NA,0,0,0.0320754914988049
 s.d. (bpf),0.00555739224225909,0.00525264793508816,0.194721088044583,0,0.414694212812672,0,0,0.00061425514940248,0.00501231169914185,0.0084565062413798,0,0,0.000353890254353825,0.00133267776835043,0.00143477236877903,0.00889472074599418,0.0400988460851596,0.00884750726243642,0.00877135067217499,0.00894769003258548,0.0131352193498335,0.0044079380885023,0.00305854078492546,0,0.0075684412562413,0.00660741562284275,0.0457301073787896
 (s.e.),3.84798196783898e-05,7.72229059954783e-05,0.00206221386746434,0,0.00542389664165934,0,0,8.18684877963443e-06,4.42622137623862e-05,7.25802170323966e-05,0,0,4.24245619782676e-06,5.51046136993796e-05,1.16103910154662e-05,8.89542721446865e-05,0.000403449198832649,0.000378560266590172,6.89253179396447e-05,7.01182944099623e-05,0.000305508151311392,4.76617671925722e-05,3.30792076290298e-05,0,0.000131858842219619,6.43982553351225e-05,0.00118693695543008
 relative s.d. (GDP),1,0.945164153637814,35.0382120887384,0,74.6202885697517,0,0,0.110529385478968,0.901917928525473,1.52166805450144,0,0,0.0636791932127447,0.239802718659407,0.258173673232716,1.60052059639729,7.21540685579885,1.59202497803896,1.57832132226993,1.61005191689479,2.36355808214359,0.793166632181151,0.550355391809119,0,1.36186918725836,1.18894174368315,8.22869889065096
