t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,DEBT,PDEBT,PROD,MK,EMP,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROFITS_G,WAGE_G,DEBT_G,PDEBT_G,PROD_G,MK_G,U,Profit_Share,Wage_Share
1,192.7755083,161.9412188,1.647465614,27.53935833,1.317972491,4.942396842,3.624424351,320,13.76967917,3.75,61.77996053,103.4561895,59.13935576,1.421085472e-14,1,1.5,275.3935833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1393950521,0.3738888889,0.6261111111
2,184.9710035,161.9412188,1.482719053,27.53935833,3.543811546,3.946962237,0.3702790665,310,12.59044801,3.75,62.4674728,95.00814343,98.92752403,0.1523817413,1.123242979,1.5,243.7282509,-0.01012123498,-3.330669074e-16,-3.510126655e-16,-0.1,-2.580099097e-16,1.688835746,-0.2014072598,-0.8978378273,-0.03125,-0.08563969721,0.01112840258,-0.08165819838,0.6727866368,10722911770000,0.1232429794,0,0.129255945,0.396680288,0.6033176416
3,187.6667932,160.0431972,2.423734629,28.15525687,5.743277797,4.074850416,-1.749164474,305.6869264,11.40176815,3.66796603,66.16555517,94.1408462,120.0707195,3.054773611,1.168411576,1.533331822,233.0026711,-0.01674644782,-5.551115123e-16,-0.01172043501,0.6346553482,0.0223643022,0.6087488733,0.03227402965,-5.698844695,-0.01391314078,-0.09452496012,0.05919574726,-0.009221149834,0.213724094,17.73921532,0.0402099883,0.02222121477,0.09793181058,0.4127316209,0.5869895171
4,188.717555,158.6283104,3.066327164,26.95221981,10.03863272,4.014856901,-6.457370506,293.477984,8.543785498,3.669414913,62.25965996,99.49793601,138.4043836,2.963494395,1.187166512,1.499479414,224.6532441,-0.02188462585,-0.02227348977,-0.008840655936,0.2651249095,-0.04272871798,0.7236619251,-0.01497599487,2.43993928,-0.03993940186,-0.2555224671,-0.06007210808,0.0567633959,0.1524903845,-0.04015295567,0.01603084931,-0.0220781964,0.08009002519,0.3848137213,0.6144828607
5,186.6006685,157.8175334,4.844116834,27.02801809,12.68583967,4.167865067,-8.803878664,282.4119412,8.53406251,3.659082519,60.30394646,99.47992214,151.2526347,3.920093545,1.192607121,1.50432059,224.0231424,-0.02985444663,-0.02170613563,-0.00518455581,0.5797782082,0.002809064019,0.2217327124,0.03744738755,0.3369905404,-0.03770655172,-0.009322895241,-0.03156741881,-0.0004953534098,0.0928312439,0.2873405493,0.004575105283,0.003228514526,0.04419357392,0.377185242,0.6205716345
6,184.1108515,156.6764046,3.708142049,27.12134863,12.7636474,3.862701603,-11.26204551,272.2763721,8.623146151,3.646504836,58.81389302,98.68696217,163.2857099,5.959541975,1.191620178,1.499848784,220.366321,-0.02030390534,-0.02433223058,-0.0072308566,-0.2351405292,0.003413070676,-0.01741305435,-0.07411766607,-0.01194254184,-0.03588930783,-0.01909262375,-0.03365358975,-0.009001396325,0.06751380569,0.5102413373,-0.0008549994002,-0.0029860198,0.02397428968,0.3726644507,0.6220205885
7,182.4036282,157.1157817,0.9959790748,27.20995727,14.97216469,3.454649912,-15.6993437,279.5244446,6.925705822,3.634621447,59.35141753,96.97577586,159.0866751,9.661172404,1.193176513,1.498507723,213.8223926,-0.02050742663,-0.02752777754,0.002143713012,-0.7314111989,0.0032253112,0.01943295084,-0.1276123222,0.05327847443,0.02637220557,-0.2656443858,-0.007327359705,-0.01825404788,-0.02674969172,0.521766282,0.001016331337,-0.001092158214,0.01814733349,0.3789813205,0.6150902086
8,184.0073015,156.755259,3.070792897,25.47098788,9.797733123,3.876077977,-7.717312086,287.7418355,5.972542849,3.635893743,59.05403287,98.29315465,162.6771987,6.950485785,1.192529227,1.499421288,220.0470566,-0.02155854074,-0.008444523187,-0.002549285744,0.7163381997,-0.06425447909,-0.4501719789,0.07876704818,-0.5937217661,0.02648313459,-0.1793498784,-0.01182043227,0.01014934148,0.02150632306,-0.3075915413,-0.003618436878,-0.001857699674,0.04034428545,0.3740523982,0.621313621
9,182.3209975,155.8268508,3.078624675,25.4263026,10.54001394,3.852529392,-11.05209564,293.8044982,5.956983807,3.640804208,57.79933541,98.26786061,164.9268999,4.028973335,1.189076501,1.498482321,219.9838265,-0.01882191712,-0.00877529739,-0.00596375467,-0.01168823688,-0.001970728204,-0.09093230735,-0.006711216081,-0.1969551908,0.02007010842,-0.1110086501,-0.03080805282,-0.01006154162,0.0120283716,-0.4447785854,-0.004776521699,-0.0006349004063,0.07422867479,0.3696850126,0.6238980134
10,185.3842143,155.187947,4.278139315,25.36938068,7.960249053,4.1754854,-6.689735699,307.5991061,6.544758344,3.646646629,58.51764885,99.87623038,165.2918662,0,1.186156661,1.498032464,225.7340069,-0.0181920315,-0.00549117549,-0.00465199821,0.02329759796,-0.002238702414,-0.3430356761,0.03806221468,-0.5612565907,0.04452381357,-0.01536072728,-0.006828247252,0.008744772839,-0.001918472905,-1,-0.003711471303,-0.0003567926724,0.06712940239,0.368739638,0.6252858868
