t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,DEBT,PDEBT,PROD,MK,EMP,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROFITS_G,WAGE_G,DEBT_G,PDEBT_G,PROD_G,MK_G,U,Profit_Share,Wage_Share
12,193.6986413,159.3395715,6.812364752,27.96625321,1.330549889,5.157896676,3.853462862,343.9924823,10.5837285,3.661519365,61.39663368,105.2539427,177.2431415,1.699195076,1.189972648,1.500745901,235.7741465,0.02534432089,0.005231875145,0.01046777177,-0.1135442066,0.09146330687,-0.5307272017,0.01930995054,7.716923799,0.05001030558,0.4637818217,0.002535438778,0.02900979494,0.02108937422,0,0.002880489517,0.001328508333,0.1318177251,0.3720966786,0.6360325198
13,193.0814957,160.6142305,4.818584413,27.95547219,1.329610273,5.150685621,3.843994225,350.3036662,13.74380187,3.662542348,60.07482677,105.2092554,177.7523871,3.641771761,1.190918313,1.501227142,235.4843768,0.03161580952,0.006516805442,0.009018971523,-0.2720483015,0.0001433847024,0.005023676945,-0.0002743365188,-0.0004463338764,0.03583763013,0.5098626288,-0.0001467834436,0.0100616409,0.01146310538,2.140952281,0.001965191919,0.000568617661,0.1754679876,0.3667740175,0.6395657989
14,195.354131,161.8535644,5.925300406,27.94773621,1.326736867,5.155073836,3.844645049,347.9779417,13.04520058,3.663922484,63.33826852,104.2045862,177.7523871,4.662632076,1.196052031,1.501729697,233.0959218,0.04026049267,0.006533060135,0.009917202628,0.4344185173,4.602216597e-05,0.005930187064,0.001379086765,0.002081015776,0.0318864261,0.04196779578,0.06825626877,-0.001133790523,0.009228288062,1.939578754,0.004728204184,0.0005506889343,0.1909932806,0.3796786466,0.6275573839
15,198.7190411,163.1126127,6.72483976,27.97628629,1.342496151,5.158981572,3.832708574,346.3243023,14.05780132,3.66209742,63.77507464,105.8259765,177.7523871,3.952202634,1.196999042,1.503333341,238.1669374,0.04028162982,0.005486989457,0.00946527243,0.2960239138,0.001137125263,0.01670793025,0.001422475719,-0.0009093827686,0.02201831156,0.09617063839,0.02143721254,0.01975582707,0.008436165289,0,0.001714658765,0.001361335955,0.1747312947,0.3774552237,0.6269630965
16,202.4614112,164.0318965,7.523547657,29.3427123,1.390713626,5.170599224,3.835554652,341.2351656,14.08693078,3.6644487,65.86856112,108.6927925,178.1300775,2.8891309,1.199093099,1.500941536,240.5888942,0.04560701625,0.003256589895,0.008239717387,0.1611519535,0.05770060091,0.04325930791,0.002721015575,0.002530410502,0.02034577281,0.05956143715,0.03385572163,0.02754819602,0.00840374584,0,0.003552389215,-0.001063423501,0.1632075406,0.3808124722,0.6285811371
17,204.6097956,165.4902945,7.956087228,29.32856466,1.533853249,5.167288808,3.816187949,348.7581491,13.74701782,3.668467102,66.13029528,109.2614824,178.5984469,4.155725954,1.202196846,1.502935914,242.2901402,0.04977659817,0.002080408558,0.0104074638,0.1117554271,-0.0001330562185,0.1164034498,-0.0002340444288,0.003772098349,0.0435131199,0.009882109451,0.02564958068,0.008348141861,0.008080873432,0.7508949406,0.003832870062,0.001640248897,0.1621858417,0.3799888679,0.6266606122
18,205.6534761,167.3801994,7.738742867,29.33005356,1.958721031,5.174513432,3.798615468,342.802336,13.62211301,3.671687478,66.90220726,109.4409895,179.6381663,5.136168954,1.204202562,1.504869941,243.8712689,0.05406804749,0.003220479499,0.01350560626,0.06901622266,0.0004716474988,0.3845299175,0.001398145958,-0.004604721051,0.01361970038,0.06850174054,0.02074998011,0.007821875104,0.03344452096,2.18239574,0.004506566225,0.001366352413,0.1633978771,0.3837562377,0.6252084964
19,208.0688441,169.2533845,8.591055611,29.34477549,1.952528492,5.179645483,3.788781182,350.1833768,13.36565173,3.67199662,67.88359605,110.5277961,182.6049091,4.775651896,1.205141832,1.505625421,248.028437,0.05670598843,0.003541397259,0.01168965257,0.1909778618,0.0009080954366,0.01643387671,0.001397414838,0.08590923255,0.03699675825,0.2283185992,0.02603613154,0.01264036277,0.02603650574,0,0.00525084041,0.0009313045641,0.1448330131,0.3838854442,0.6274926725
20,210.3369,170.9887864,7.868340557,30.63161144,1.563077259,5.199135524,3.795297283,357.8192545,14.13920553,3.677988272,67.30807814,113.4927043,183.7068377,4.487412348,1.20853405,1.503402155,251.1835909,0.05444717104,0.004674638959,0.0121537066,-0.03734900811,0.07726429355,0.1138741769,0.004978229836,0.1381169415,0.02379516394,0.3253038608,0.02607062298,0.03716317909,0.0260258523,7.627248694,0.004411959948,-0.0004913678816,0.1655865431,0.3782244928,0.6340857291
21,211.1387044,172.161104,7.378870915,30.60537605,1.848025441,5.212691237,3.798865434,364.7798537,14.71088433,3.682874963,67.22170506,114.9452893,187.211853,5.335526175,1.21126336,1.503952274,255.930483,0.04782304126,0.006271490615,0.01035594713,-0.02087676352,0.0001513587768,0.2028139698,0.002607301195,0.01324794303,0.04714925847,0.4826863298,0.02834754092,0.01372961848,0.03446193584,0.9066246821,0.004664011748,0.001022220327,0.1687177818,0.3767501999,0.6355741831
