t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,101.6461022,101.6461022,0,0,1.504664573e-14,0,-1.504664573e-14,380,16.94101703,3.75,54.77595505,46.8701471,1,1.5,169.4101703,8.4115375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108367525,0.5388888889,0.4611111111,0.36,0.1441472501,1,0,0,-1.480297366e-16,0.1666666667,3.738461111
2,101.8876188,101.6461022,0,0,0.5489015005,0,-0.5489015005,380,16.69950037,3.75,55.01505654,46.87256227,1,1.5,169.4101703,8.4115375,0.0005940135802,-3.330669074e-16,-1.118457425e-15,0,0,36479990980000,0,36479990980000,-2.991758887e-16,-0.01425632593,-5.551115123e-16,0.004365081237,5.152888889e-05,-1.480297366e-16,-3.355372276e-16,0.108367525,0.5399582126,0.4600417874,0.9416941162,0.1447764646,0.9976295779,0,0,-0.005387322885,0.1639011743,3.72959938
3,102.7809721,101.6878872,0.6037702742,0,0.497461512,0,-0.4988525565,379.9865466,15.84621268,3.75,55.73605001,47.02203913,1,1.5,169.9330526,8.381664565,0.003385241941,-9.992007222e-16,0.0004110832528,0,0,-0.09371442499,0,-0.09371442499,-3.540366547e-05,-0.05109659948,-3.330669074e-16,0.01310538444,0.003189005596,0,0.003086487379,0.1051896742,0.5422798489,0.4573430457,0.9382108192,0.1466738158,0.9890606173,0.005872355626,0,-0.004853089951,0.154124697,3.695803239
4,102.678637,101.9017805,1.211349166,0,0.3117435193,0,-2.930287572,379.9753708,14.44552765,3.750010857,55.16998697,47.35671602,1,1.500000272,171.1198159,8.319673004,0.005925212479,-5.551115123e-16,0.002095851021,1.006269581,0,-0.3734846522,0,-0.3734846522,-2.941102662e-05,-0.08842184364,-1.110223025e-15,-0.01016074275,0.006720203377,-1.981798006e-05,0.006600664145,0.09852226201,0.5373073561,0.4549833312,0.9391655062,0.1448035346,0.9789145626,0.01164151736,0,-0.02850462231,0.1387605177,3.64995869
5,100.5735807,98.25258329,1.952289393,0,0,0,-8.401082946,379.9480241,12.91221358,3.750045802,52.77811295,47.49781575,1,1.500001981,171.6581212,8.200300562,0.003701214705,-4.440892099e-16,-0.03589703836,0.6106350974,0,-1,0,-1,-7.551775079e-05,-0.1145745385,-2.220446049e-16,-0.04951539248,0.0003544879326,-5.913877432e-06,0.0001616528355,0.08539799876,0.5247711437,0.4539129116,0.9444775656,0.1378076778,0.9508741267,0.0186416318,0,-0.08353170774,0.1221761099,3.594986189
6,100.6998401,95.52840417,2.375660642,0,0.2083957514,0,-9.440201738,379.952723,9.987774607,3.750072276,53.47395681,45.73978775,1,1.500005566,165.2741088,8.159524417,0.0001857325868,2.598557968e-06,-0.03464139982,0.2061334703,0,0,0,0,-0.0230161835,-0.2679533226,-2.220446049e-16,-0.05204002375,-0.04768422972,2.390531257e-06,-0.0488388408,0.08075343613,0.5250405987,0.4400308831,0.8895417969,0.1396386522,0.9241011846,0.02205643004,0,-0.09374594564,0.09254138134,3.527608491
7,101.916953,94.68308051,2.815597931,0,3.580497711,0,-14.20621679,387.9115826,7.807432164,3.750093504,54.81568666,45.14078166,1,1.500004831,163.0017695,8.250724658,-0.003861818309,7.103121669e-06,-0.02947094093,0.1071216081,0,-0.3549578116,0,-0.3549578116,-0.002557816787,-0.4109209504,-5.551115123e-16,-0.05756249567,-0.04515733001,-4.782345524e-06,-0.04663614152,0.07174428048,0.5287224674,0.4303347277,0.8710745916,0.1394861504,0.9290218917,0.02623348199,0,-0.1387835803,0.07230040306,3.586633492
8,101.4428661,97.01246192,2.173498117,0,2.795253705,0,-13.09705969,397.8102507,7.88777458,3.75011805,53.03112543,46.1319098,1,1.500001997,166.6605124,8.256721111,-0.007418074349,1.157420989e-05,-0.02897394752,-0.2747369859,0,-0.4079825559,0,-0.4079825559,0.020233054,-0.2455001938,0,-0.1026826036,-0.03534688512,-6.826865179e-05,-0.03668236572,0.07283409291,0.5173134742,0.4427018697,0.8776089923,0.1319327663,0.9434944823,0.02122819268,0,-0.1262135624,0.07601624591,3.701835215
9,102.5541474,97.02967255,1.90406324,0,2.009711806,0,-12.64177531,404.7194373,9.916586164,3.750532151,53.8896522,46.60941065,1.000005168,1.500032594,168.4055404,8.276093849,0.001603083643,1.770159098e-05,-0.02596377446,-0.1331261562,0,-0.3719787884,0,-0.3719787884,-0.009924117062,-0.09904074244,-4.530055241e-07,-0.07917583607,-0.03722919217,1.526317806e-06,-0.03829516112,0.07996259511,0.5254751131,0.4532653999,0.8686573152,0.1314796958,0.9392155698,0.01851627438,0,-0.1204109561,0.09309990884,3.717557855
10,102.5580081,97.12946325,1.627508886,0,1.327548597,0,-13.19493307,412.3682261,12.59586556,3.75055515,54.1263278,46.67591614,1.000015265,1.500054057,168.662338,8.320938649,-0.0003139674766,2.093521769e-05,-0.03163216818,-0.200797135,0,-0.3475100155,0,-0.3475100155,-0.01259210617,-0.1664536995,-3.955860156e-07,-0.06207859367,-0.03111685835,-9.1979406e-05,-0.03189226128,0.08505538002,0.5183355958,0.449995329,0.854831372,0.1312572705,0.9328377844,0.01564528393,0,-0.1267250093,0.120402218,3.864421769
11,102.4796779,95.95258551,1.303309274,0,0.980217687,0,-11.68071716,418.5542333,12.25919792,3.752471471,53.76137353,47.28997145,1.000051894,1.500489126,171.0306731,8.784081666,-0.02318447706,5.576967552e-05,-0.01513263276,-0.2715781447,0,-0.4702459368,0,-0.4702459368,-0.01201009487,-0.2087030921,3.662808078e-05,-0.06567033261,-0.04860676192,3.519760109e-05,-0.04999014994,0.1336458475,0.5246052155,0.4451386219,0.8557405184,0.1272233439,0.9333609218,0.01233458465,0,-0.1136220028,0.1115444241,3.808356078
12,102.7544878,97.81895786,1.078655313,0,0.5463028112,0,-9.718938829,423.3845931,15.31641356,3.75383826,54.07822097,47.08357601,1.00016048,1.500302423,170.1407894,8.640755889,-0.02414648327,0.0003086861454,-0.03223380854,-0.2192425579,0,-0.4633352134,0,-0.4633352134,0.008578209821,-0.06020821594,8.470486739e-05,-0.1132040341,-0.02617489596,-0.0004914249553,-0.02687220908,0.1188272721,0.5135387499,0.4566474376,0.8381153463,0.1268034905,0.9487124862,0.01045801238,0,-0.09229319322,0.1473626345,4.004920268
13,102.870093,99.19820071,0.6858522673,0,0.3635561719,0,-6.826613173,423.3343725,15.61103848,3.757178387,55.04914689,46.82234107,1.000214666,1.500817782,169.4430197,8.968930481,-0.02718181823,0.0005471752844,-0.01090700016,-0.3652567446,0,-0.4471409216,0,-0.4471409216,-0.0009826670936,-0.07368904331,2.945519714e-05,-0.01042126217,-0.05077232365,0.0002036685643,-0.0517495007,0.1614493184,0.5303008849,0.4532977305,0.8357601562,0.1292704888,0.9531123912,0.006667168729,0,-0.06566854362,0.1514960983,3.994284513
14,101.8925731,99.23673228,0.8868210677,0,0.5750295009,0,-5.047827299,428.2448828,16.24448276,3.759034138,54.63151398,47.04592901,1.000256348,1.500917887,170.4436916,9.184665538,-0.01975650799,0.001139881355,-0.03007825938,-0.004868299577,0,-0.4153861027,0,-0.4153861027,0.008440338414,-0.05765771017,-3.646303372e-06,-0.03256280711,-0.01752187489,6.670016084e-05,-0.01713240525,0.1674329535,0.5319972187,0.4548430181,0.831429241,0.1265223989,0.9661722316,0.008578792694,0,-0.04954067941,0.1557561008,4.044259022
15,102.2752154,99.93854776,0.7099785933,0,0.6607748205,0,-3.678330716,429.1577542,15.31466699,3.762196714,55.86380502,46.31502298,1.000265767,1.501968752,167.8401617,9.212444383,-0.01700862097,0.001149103951,-0.02651530002,-0.3030522783,0,-0.3864892315,0,-0.3864892315,0.001686693524,-0.1344028953,-8.32459326e-06,-0.0345167224,-0.03658514001,0.0001960162074,-0.03675445462,0.1794495215,0.532661986,0.4477022524,0.8229887182,0.1262536636,0.9586218261,0.006819549056,0,-0.03501382646,0.145420938,4.071314023
16,102.5200726,99.57166222,0.594382619,0,0.4481531787,0,-5.903646275,430.8939366,15.40793658,3.767094168,55.79507652,46.72499611,1.000264088,1.501824522,168.9445575,9.170385938,-0.005821340693,0.001766977137,-0.02034957889,-0.1997393984,0,-0.4349624279,0,-0.4349624279,-0.001033346726,-0.06606798903,-1.477613276e-05,-0.01544970138,-0.006183659888,-0.0009332021343,-0.008936457674,0.1746650856,0.5385416917,0.4549626976,0.821805975,0.1263969397,0.9346280097,0.00579771945,0,-0.05541449288,0.1445046814,4.045456468
17,103.3704169,101.3318947,1.325596477,0,0.3070413849,0,-6.04506096,431.6217863,12.77834848,3.770665633,55.88549856,47.48491835,1.000256994,1.502497223,171.9895578,9.137271782,-0.006742759091,0.00312344005,0.003646572613,0.08513436067,0,-0.4113672203,0,-0.4113672203,0.001392851674,-0.2680793649,-1.421105628e-05,0.001620609765,-0.009655076455,0.0004479222765,-0.009679967085,0.1708021401,0.5393135905,0.4391880048,0.8112911141,0.128199348,0.9227824518,0.0128237509,0,-0.05494348902,0.1144452729,3.910092491
18,104.6565674,101.7511739,2.145866655,0,0.6031088559,0,-2.887529705,432.4935336,11.84800912,3.773263163,56.52849494,48.12807247,1.000350187,1.502761893,174.569675,8.59064859,0.003540743837,0.003182776582,0.004137682661,0.2524651189,0,-0.8100458776,0,-0.8100458776,-0.0005617544425,-0.17234959,-1.77923289e-05,0.007367454645,0.009484664978,0.0001761535878,0.01067830781,0.1122180905,0.5401332791,0.4484514812,0.8124789273,0.1285727197,0.8999287701,0.02050388913,0,-0.02488375661,0.1005648219,3.747355909
19,107.4160309,101.743015,3.933363913,0,0.1225493363,0,-9.381305248,434.3327972,9.498433075,3.777328281,58.52801987,48.88801101,1.000443193,1.503726449,177.5175349,8.363909129,0.01888795904,0.003204531438,-0.0202626556,0.1637847706,0,-0.8871484806,0,-0.8871484806,-0.0004497470642,-0.2216426472,-2.138246674e-05,0.01177629341,0.01578992262,0.0003461529636,0.01688643788,0.09520772036,0.5416116555,0.4429726126,0.8229961907,0.1328866395,0.879747589,0.03661803439,0,-0.08311610531,0.07769560496,3.630766486
20,111.7889074,103.6648267,5.032008189,0,1.334982495,0,-17.8101446,437.399315,5.83085984,3.783669009,61.67744176,50.11146559,1.000637599,1.502144299,181.246256,8.277389488,0.04207851665,0.003936857695,-0.01273537091,0.003659029962,0,0.1259766817,0,0.1259766817,0.001278357869,-0.4429392254,-1.982396377e-05,-0.001792116137,0.01856421628,-0.001764930625,0.01408215766,0.08157793455,0.5401720282,0.4376345308,0.8372238608,0.1385307636,0.858750241,0.04501348397,0,-0.1426005152,0.04556101241,3.479121763
