t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,101.6461022,101.6461022,0,0,1.504664573e-14,0,-1.504664573e-14,380,16.94101703,3.75,54.77595505,46.8701471,1,1.5,169.4101703,8.4115375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108367525,0.5388888889,0.4611111111,0.36,0.1441472501,1,0,0,-1.480297366e-16,0.1666666667,3.738461111
2,101.8876188,101.6461022,0,0,0.5489015005,0,-0.5489015005,380,16.69950037,3.75,55.01505654,46.87256227,1,1.5,169.4101703,8.4115375,0.0005940135802,-3.330669074e-16,-2.796143564e-16,0,0,36479990980000,0,36479990980000,-2.991758887e-16,-0.01425632593,-5.551115123e-16,0.004365081237,5.152888889e-05,-2.960594732e-16,-3.355372276e-16,0.108367525,0.5399582126,0.4600417874,0.9416941162,0.1447764646,0.9976295779,0,0,-0.005387322885,0.1639011743,3.72959938
3,102.7810162,101.6888187,0.6037810612,0,0.4978236768,0,-0.4983972505,379.9933355,15.88860228,3.75,55.73609364,47.03418961,1,1.5,169.9755931,8.381664565,0.003385350328,-9.992007222e-16,0.000420247851,0,0,-0.09305462583,0,-0.09305462583,-1.753813152e-05,-0.04855822461,-3.330669074e-16,0.01310617745,0.003448229179,2.960594732e-16,0.003337597036,0.1051896742,0.5422800408,0.4575435049,0.9384411592,0.1466739306,0.9892336872,0.005873516802,0,-0.004849111963,0.1545632379,3.696534032
4,102.6756272,101.9078547,1.211764002,0,0.3130510932,0,-2.931926666,379.9885043,14.55623415,3.75,55.16795327,47.3784211,1,1.5,171.1975537,8.319616308,0.005919512027,-7.771561172e-16,0.002140214581,1.006951651,0,-0.3712129666,0,-0.3712129666,-1.271392472e-05,-0.08390949967,-7.771561172e-16,-0.01021914301,0.007268650995,-1.233539615e-05,0.007161304914,0.09851611876,0.5373032995,0.455068249,0.9396154671,0.144800957,0.9793070833,0.01163939354,0,-0.02853768504,0.1398592193,3.649833104
5,100.4040483,98.26746319,1.977852519,0,0,0,-8.393516432,379.9922119,13.08225634,3.75,52.7373777,47.49587265,1,1.5,171.6472313,8.205279004,0.002864663334,-5.551115123e-16,-0.03573200831,0.6313461347,0,-1,0,-1,-1.834877559e-05,-0.1046450967,-4.440892099e-16,-0.04794298068,-0.0002627285781,-2.427378937e-06,-0.0004890427428,0.0859532576,0.5252515072,0.4545681045,0.9333252841,0.1376995649,0.9499771792,0.01872277018,0,-0.08359739048,0.1238394049,3.59708663
6,101.9930084,95.85782274,2.382588218,0,0.09411735492,0,-11.11080672,379.9812947,9.892994067,3.750016305,54.80828426,45.42723629,1,1.500001955,164.0555645,8.155696324,0.003721291824,-4.440892099e-16,-0.03372221129,0.1864824666,0,-0.3181344378,0,-0.3181344378,-2.872996109e-05,-0.293709037,-2.220446049e-16,-0.02735428655,-0.04698113556,-1.127544943e-06,-0.04842770717,0.08039660815,0.5320292665,0.4390060104,0.9024805964,0.1410884304,0.9191542419,0.02205550694,0,-0.1089369448,0.09157898024,3.517468953
7,100.1533413,94.69777508,2.825572248,0,3.707096497,0,-13.20916536,388.973117,5.88119271,3.75001715,53.80142959,46.04888795,1,1.500001578,166.2751573,8.260294316,-0.001703211222,2.703842023e-06,-0.03346481149,0.1296823735,0,-0.3197754532,0,-0.3197754532,-0.002535295334,-0.4873630712,-3.330669074e-16,-0.03703635961,-0.04513163518,-2.515726041e-07,-0.04646479908,0.07297493016,0.5282018706,0.4328166428,0.8963972521,0.1362070054,0.9172875461,0.0267467237,0,-0.1318894127,0.05561837585,3.596400037
8,101.0861341,94.04226462,2.139442835,0,3.86424207,0,-13.05908024,399.9097942,7.527427173,3.750019674,53.89516494,45.31054169,1,1.500000536,163.6699674,8.274203285,-0.01192242072,4.324531939e-06,-0.02741062669,-0.2606095754,0,-0.3219990021,0,-0.3219990021,-0.007371443272,-0.4191005528,-3.330669074e-16,-0.09081922528,-0.04109120598,-3.730033421e-05,-0.04232464946,0.07506408808,0.5182095846,0.4374833159,0.854065998,0.1347514422,0.9284937844,0.02059854135,0,-0.1255648916,0.07106532274,3.775489013
9,101.0174259,94.63194906,1.869958025,0,3.035967542,0,-11.60925027,406.805968,9.707206733,3.750019295,52.64730893,46.14217822,1,1.500001369,166.7453944,8.440717823,-0.01625339334,4.409194644e-06,-0.01520582804,-0.1467951868,0,-0.3984469958,0,-0.3984469958,-0.009776404842,-0.1897340943,-2.614328868e-07,-0.104627727,-0.03148746902,-5.708393792e-05,-0.03306884159,0.09814492313,0.5153684461,0.4467977679,0.8510192169,0.1293713248,0.9280259501,0.01815457261,0,-0.1136438195,0.09259128867,3.746692248
10,101.2130314,96.82763148,1.577575302,0,2.053340718,0,-10.54407485,412.5234549,11.91198123,3.750012525,52.86106207,46.87058203,1.000003223,1.500005238,169.4293125,8.46720865,-0.01840322285,2.50416729e-06,-0.03788400797,-0.2416331266,0,-0.3908343816,0,-0.3908343816,-0.01213124086,-0.04982285716,-3.762297972e-07,-0.1051790803,-0.03367367134,2.075663675e-06,-0.03471667878,0.1011537223,0.5133048731,0.4583528952,0.8564365707,0.1280606462,0.9409901109,0.01513095415,0,-0.1009600422,0.1163841867,3.863294929
