t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,101.6461022,101.6461022,0,0,1.504664573e-14,0,-1.504664573e-14,380,16.94101703,3.75,54.77595505,46.8701471,1,1.5,169.4101703,8.4115375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108367525,0.5388888889,0.4611111111,0.36,0.1441472501,1,0,0,-1.480297366e-16,0.1666666667,3.738461111
2,101.8876188,101.6461022,0,0,0.5489015005,0,-0.5489015005,380,16.69950037,3.75,55.01505654,46.87256227,1,1.5,169.4101703,8.4115375,0.0005940135802,-3.330669074e-16,-1.118457425e-15,0,0,36479990980000,0,36479990980000,-2.991758887e-16,-0.01425632593,-5.551115123e-16,0.004365081237,5.152888889e-05,-1.480297366e-16,-3.355372276e-16,0.108367525,0.5399582126,0.4600417874,0.9416941162,0.1447764646,0.9976295779,0,0,-0.005387322885,0.1639011743,3.72959938
3,102.7809721,101.6878872,0.6037702742,0,0.497461512,0,-0.4988525565,379.9865466,15.84621268,3.75,55.73605001,47.02203913,1,1.5,169.9330526,8.381664565,0.003385241941,-9.992007222e-16,0.0004110832528,0,0,-0.09371442499,0,-0.09371442499,-3.540366547e-05,-0.05109659948,-3.330669074e-16,0.01310538444,0.003189005596,0,0.003086487379,0.1051896742,0.5422798489,0.4573430457,0.9382108192,0.1466738158,0.9890606173,0.005872355626,0,-0.004853089951,0.154124697,3.695803239
4,102.7232158,101.9390619,1.211349152,0,0.3117435222,0,-2.930287538,379.9753713,14.38464937,3.750010855,55.21411994,47.35734516,1,1.500000271,171.1198159,8.319673004,0.006034854607,-5.551115123e-16,0.002447100231,1.006269558,0,-0.3734846463,0,-0.3734846463,-2.940965217e-05,-0.09226353813,-1.110223025e-15,-0.009368925606,0.006733577769,-1.982734699e-05,0.006600664145,0.09852226201,0.5375038108,0.4546760851,0.9391574947,0.1449193695,0.9789268858,0.01163178592,0,-0.0284947145,0.1380949787,3.647312744
5,100.7522607,98.32785512,1.952866634,0,0,0,-8.417979679,379.9480233,12.65807111,3.750045804,52.91753503,47.52220407,1,1.500001981,171.7406786,8.19807563,0.004415396371,-5.551115123e-16,-0.03571445012,0.6111113188,0,-1,0,-1,-7.553946323e-05,-0.1248745002,-2.220446049e-16,-0.04826009699,0.0003705908883,-5.911776955e-06,0.0001616528355,0.08514977856,0.5252242942,0.4533496819,0.933330689,0.138140824,0.9502981461,0.01862661028,0,-0.08355127338,0.1195650957,3.588982764
6,100.8886718,95.68287115,2.36796396,0,0.2708827894,0,-9.46270883,379.9527205,9.842090061,3.750072294,53.64458397,45.81451673,1,1.500005574,165.4598635,8.152864496,0.00136364859,2.598557968e-06,-0.03340394403,0.2057562293,0,-0.2803056691,0,-0.2803056691,-0.02301607981,-0.2598647857,-3.330669074e-16,-0.05299636353,-0.04651882931,2.394772584e-06,-0.04760820187,0.08000252089,0.5250476016,0.4408165586,0.8920640774,0.1400842009,0.9254813136,0.02203468463,0,-0.09379357133,0.09128202649,3.523931815
7,101.652433,95.54581929,2.8284195,0,3.586610017,0,-13.61951145,387.9116026,8.265029359,3.750181532,53.48890295,45.29225468,1,1.500059085,163.5529893,8.241152309,-0.002128254383,7.103118046e-06,-0.03346285524,0.1090441214,0,-0.3548104692,0,-0.3548104692,-0.005134468251,-0.4227793223,-5.551115123e-16,-0.08270059588,-0.04547761015,2.016187307e-06,-0.04715708706,0.07066608319,0.5261940259,0.4297452851,0.8740721058,0.1357645325,0.9338295599,0.02630110827,0,-0.1338754079,0.07649159104,3.590062948
8,102.5762374,96.12793823,2.177066904,0,2.987701936,0,-14.30239251,396.8872259,8.600377614,3.750218279,53.7171054,46.17512471,1,1.500038395,166.7322854,8.233094715,-0.005232725927,1.178404388e-05,-0.02700219044,-0.2488774474,0,-0.4063039867,0,-0.4063039867,0.02023320355,-0.3273024946,-2.220446049e-16,-0.09253456274,-0.04599818895,-7.893675718e-05,-0.04730916884,0.07007756631,0.5180132018,0.4413353779,0.8794882318,0.1341318494,0.9273947868,0.02070153405,0,-0.1394318301,0.08007528633,3.704310197
9,100.886096,94.87387733,1.906509607,0,2.030599954,0,-13.59325274,403.8605194,10.25646325,3.751353914,53.13276749,47.11896911,1.00000508,1.500093925,170.3258372,8.346865343,-0.007684216862,4.46222619e-05,-0.02562004694,-0.1483537329,0,-0.3885489106,0,-0.3885489106,-0.01212146706,-0.05071054788,-3.826836267e-09,-0.1068467506,-0.03366739399,-1.796445925e-05,-0.03461721974,0.08780382116,0.5153208382,0.4572588242,0.8825648802,0.1296301189,0.9321815073,0.01798368424,0,-0.134738614,0.09674695357,3.82348987
10,102.2062064,96.84036142,1.639386595,0,1.377808572,0,-11.85207381,410.850417,11.44585244,3.751728397,53.82770196,46.83739899,1.000015234,1.500123428,169.2901203,8.60586511,-0.01488665071,0.0001503215072,-0.02348103153,-0.2053000607,0,-0.4145979687,0,-0.4145979687,-0.01208481482,-0.2080672435,1.855921253e-07,-0.04277394811,-0.04143067187,-7.646074283e-06,-0.04298197623,0.1154612199,0.5266578602,0.4483269846,0.8601518923,0.1297782554,0.9244640588,0.01583944294,0,-0.1122876562,0.1062054192,3.821393066
11,103.3691221,98.66821663,1.323449377,0,3.34264669,0,-9.821921265,416.7822282,9.046791413,3.753771518,54.48165165,46.90417548,1.000050373,1.500375586,169.6511239,8.643679989,-0.0079587839,0.0002005229312,-0.02569882636,-0.2631647305,0,-0.4254597748,0,-0.4254597748,-0.01189903333,-0.2399227921,3.513919658e-05,-0.07221623667,-0.03047487693,-5.2880697e-05,-0.03084909827,0.1193287795,0.5198000028,0.448638218,0.8506368203,0.1291996342,0.9275986754,0.01267700508,0,-0.0947109545,0.08405325035,3.87230117
12,103.4860209,97.69779534,1.057565166,0,2.299847911,0,-8.370429495,422.6389386,11.41607956,3.755025564,54.82107947,47.48992169,1.000160202,1.500239153,171.7306632,8.666728353,-0.01177738851,0.0003723156399,-0.009835196415,-0.2674560479,0,-0.4566743133,0,-0.4566743133,0.008181231926,-0.1411187343,7.643718133e-05,-0.04694601935,-0.03871653703,-0.0004246147731,-0.04161808849,0.1212779383,0.5269445172,0.4474173818,0.8488664413,0.1282629669,0.9390788743,0.0102194012,0,-0.08045722507,0.1061213936,3.907968554
13,102.6131211,97.9421448,0.7414804993,0,1.397894266,0,-7.095012525,423.4886848,13.85180414,3.757883673,54.44657733,47.85620046,1.000213921,1.500722974,173.2652449,8.606424854,-0.01066671602,0.0005736312075,-0.03031047534,-0.3506569124,0,-0.4237436135,0,-0.4237436135,-0.0254011226,-0.01520921302,2.752977514e-05,-0.05334530456,-0.01814905589,0.0001748556632,-0.01806835958,0.1232623992,0.5298585074,0.4587742655,0.8452234717,0.1268181518,0.9372933336,0.007225981352,0,-0.06789832871,0.1272397253,3.897342949
14,102.713159,97.16339278,0.9256960357,0,0.9413276219,0,-7.765625892,428.2980324,15.70457899,3.761055045,55.43889628,47.03851066,1.0002618,1.500846851,170.3859482,8.713241307,-0.01249963747,0.00110571259,-0.02546923536,-0.0007702649206,0,-0.3912220454,0,-0.3912220454,0.008591052863,-0.07100245596,-2.802955811e-06,-0.02120292427,-0.02341943175,8.254458663e-05,-0.02318904971,0.1215002594,0.5310984688,0.4539984624,0.8266059339,0.1286750617,0.936269532,0.008801309049,0,-0.0748298172,0.1424459135,3.91731261
15,103.2764493,96.97552408,0.6901272827,0,0.7870804641,0,-7.56593606,429.268377,15.23891342,3.763894247,56.34059001,46.85123464,1.000266052,1.501512712,169.9865544,8.820895229,-0.009112116163,0.001321374666,-0.01442218574,-0.2887451531,0,-0.4160363917,0,-0.4160363917,-0.0005031527529,-0.15545737,-7.501404569e-06,0.003616937495,-0.02664004154,0.0002211315905,-0.02651725128,0.1360092242,0.5340461247,0.447736938,0.8188424028,0.1306045822,0.9389897186,0.006589595148,0,-0.07325906449,0.1437892994,3.921911398
16,104.7721162,99.29887064,0.8988229327,0,0.541936716,0,-5.004272632,429.9734111,14.13388936,3.768187494,56.77867966,46.69231508,1.00026946,1.501323352,168.9279734,8.80500924,-0.007436746065,0.0020104422,-0.0206439338,-0.1066993806,0,-0.382064148,0,-0.382064148,-0.001087609921,-0.1830769578,-1.347556486e-05,-0.01811851263,-0.003392003779,-0.001061166623,-0.006227439234,0.1402697068,0.5330445085,0.4455001218,0.8099186145,0.1280415248,0.9448436983,0.008578837246,0,-0.04774670229,0.1329965182,3.847929267
17,106.3435538,101.1492855,1.152743604,0,0.5014162272,0,-5.805076751,432.7247875,12.77812457,3.77193915,58.02188481,48.28593994,1.000256393,1.502618405,174.8270302,8.647192186,9.778964384e-05,0.003143366087,-0.02117070569,-0.2517297051,0,-0.3949531415,0,-0.3949531415,0.001857234896,-0.130067075,-2.004962214e-05,-0.00162706966,-0.02031493426,0.0003644973186,-0.01997638835,0.1239313071,0.5385542182,0.4495859197,0.8225686303,0.1298532918,0.9151302983,0.01083980705,0,-0.05140908737,0.1128414881,3.829121736
18,109.1209207,102.7857499,2.963693928,0,1.075478674,0,-8.092995482,434.5036271,11.25095287,3.775333015,59.55009489,49.00202503,1.000348187,1.50330385,177.5992144,8.511991002,0.01435892787,0.004082692829,-0.02015463973,0.154085513,0,-0.5171424295,0,-0.5171424295,0.001883740382,-0.1922040344,-3.393350949e-05,-0.005639693863,0.01340298743,0.0003168448644,0.01375863165,0.113903316,0.5361586165,0.445794594,0.8149557667,0.1332822576,0.904331295,0.02715972251,0,-0.06680948075,0.09509046197,3.672324568
19,113.0883962,103.5045294,3.435243467,0,1.583738461,0,-13.69097232,435.5648227,8.319051629,3.778556844,62.46409656,50.49601201,1.000436532,1.503836836,183.2044379,8.300373697,0.02863779049,0.004103068201,-0.01646319921,-0.01570022205,0,-0.3664706202,0,-0.3664706202,-0.0002270321876,-0.4166033484,-2.732093646e-05,-0.002563563217,-0.01490904107,0.0001366313036,-0.01499525772,0.08435318918,0.5342682875,0.4378518693,0.831223032,0.1382071665,0.875551202,0.03037662202,0,-0.1132780699,0.06452820917,3.539544955
20,119.366403,106.7637665,8.639731382,0,2.188181461,0,-25.54165862,438.319959,3.817520203,3.78325387,65.9758756,53.39052744,1.000561582,1.502328299,193.2775883,8.055336004,0.06269738981,0.004291429755,0.006187153821,0.03943178052,0,-0.5420923943,0,-0.5420923943,0.001635706247,-0.5411111298,-8.011321733e-05,0.03861143526,-0.002689765126,-0.001626561667,-0.006786090186,0.04995907477,0.5439171945,0.4381898135,0.8879251995,0.1462531039,0.8518857668,0.06985241461,0,-0.2003804416,0.02817573123,3.417561875
