,GDP (output),Consumption,Investment,Gov. Expend.,Imports,Exports,Net Exports,Inflation,Profit,Wages,Profit Share,Wage Share,Markup,Profit Rate,Productivity,Capacity Utilization,Inventories,Capital Stock,Unemployment,Employment,Capital-Labor Ratio,Consumption (Share of GDP),Investment (Share of GDP),Government Expenses (Share of GDP),Net Exports (Share of GDP),Inventories (Share of GDP),Capital Stock (Share of GDP)
avg. growth rate,0.004399772661154,0.0013795726580778,0.05961560444218,0.010970729204721,0.098407659522375,0.00868451688445,0.149288829208741,0.01105820819571,-0.009698091610614,0.018374142700271,0.397353027469,0.602646972531,-0.00465357679999,0.182623660968,-0.001415637792076,0.734068341417,-0.001526307394667,-0.006894922706819,0.292015832833,0.004474721198689,85.3693586326,0.813292483415,0.0383410729535,0.139337170346,0.02034604310836,0.0649986815932,1.87737687269
 (s.e.),0.00165545632365427,0.000371415794736155,0.0218814167474969,0.00202925997571825,0.0642926067643082,0.00449515137359506,0.17730555128797,0.000305947787026261,0.00112831224111451,0.0010660433156526,0.000338358122024356,0.000338358122024356,0.000100943183106429,0.0010656068443795,0.00146752816033283,0.00433546185003566,0.0060468091074641,0.0013067723692385,0.00627776595073316,0.00214655960784883,2.04373951123103,0.00114802059269422,0.00112378013744052,8.70023296897688e-05,0.000683292938906475,0.000616111952922279,0.0111998005416597
ADF test (logs),-2.96815965733994,-4.43976679982482,-3.23631076990829,-3.20774249623008,-5.36598528863448,-2.65925274761184,-4.97922202151108,-2.33066070074049,-3.11009111007063,-2.50473828493926,-5.45576784151951,-5.45576784151944,-3.02514225147721,-3.71308459710232,-2.31098154563678,-3.96406301076972,-3.91444964591043,-2.99292896310979,-3.63069347692879,-2.68139752792008,-2.79356375533265,-3.29170410667482,-3.36671341535844,-6.82249013106553,-4.95557837885427,-4.11157966555992,-3.74420366404359
 (s.e.),0.0854824790772915,0.130868103238224,0.0406486376536771,0.076270585437808,0.0641719809908197,0.0816424534755159,0.100053796270352,0.178370754864503,0.0848280430734971,0.0784512575788671,0.0950800131214947,0.095080013121488,0.0991798227195591,0.0782081068264506,0.0752135866702561,0.0844754657680574,0.064255685009983,0.0807489939987829,0.0657243586622554,0.0565477965823922,0.0784759248357312,0.0437730119358467,0.0402890170923763,0.160913544597322,0.103306537583515,0.0596015711872035,0.0829595964176464
 (p-val.),0.250349760007925,0.0610969977605285,0.117249124881161,0.174310006228225,0.0104939921304273,0.342918253754514,0.0197779972423647,0.451168567208698,0.213279925063545,0.38533366707264,0.0120476612957825,0.0120476612957827,0.257199961293803,0.0870966445349253,0.432533056653204,0.0646341878724311,0.0444857590832069,0.231583652457661,0.077295665991639,0.308832528435068,0.293831468048735,0.109766478738025,0.0884593832780498,0.01,0.0185058001852253,0.0228119237438348,0.0926631735584702
 (s.e.),0.024212606377261,0.0132943209869005,0.00981275632862159,0.0189329005392769,0.000393582645350541,0.0264666025645739,0.00584195532299722,0.0396636820525449,0.022516100785265,0.0259476706507116,0.0012156725315925,0.00121567253159265,0.0266911679937608,0.0145117121130704,0.0259714775461134,0.0118437047891224,0.00701237799795075,0.0252847912395238,0.00979684870776383,0.0205547207240664,0.0246425174950629,0.00977484629516226,0.00788392571098693,0,0.0048778046830009,0.00253870380461673,0.0154552737367861
 s.d. (bpf),0.00917125881803206,0.00756567221793204,0.154160218288969,0.0111711800012918,0.204756573561619,0.0224733708195817,0.198471105680135,0.000971573684248471,0.00928486787901044,0.00921799875664602,0,0,0.000502501837607273,0.00233811245526065,0.00855816398630317,0.0106198371772689,0.0515923233468367,0.00962177414650619,0.015326370235608,0.01526543893521,0.0175012791998204,0.00519032440492392,0.00509857413559274,0.00107919481519116,0.00270960185358317,0.00319195752781479,0.0233404585523283
 (s.e.),1.4758587028084e-05,1.36281102211824e-05,0.000246823680689969,1.468252802852e-05,0.000532319040945294,5.51727759670797e-05,0.000641885331731267,1.10209491928068e-06,1.58820808735701e-05,1.42425670227826e-05,0,0,5.99107924690312e-07,4.58353561190146e-06,1.47551386370847e-05,3.6128111741672e-05,0.000154581527066396,1.47192549880504e-05,2.70403714106844e-05,1.87299083821612e-05,2.39922981837402e-05,6.19329057162591e-06,6.09681451257805e-06,1.41825989890064e-06,9.48012388983375e-06,5.13207817439305e-06,4.20813751741668e-05
 relative s.d. (GDP),1,0.824932800179709,16.8090576602055,1.21806397823248,22.3258963272345,2.45041288938392,21.6405522532971,0.105936786162682,1.01238751007168,1.00509634931707,0,0,0.0547909341102968,0.254939098508873,0.933150416546586,1.15794760435598,5.62543532687122,1.04912251822927,1.67113048924909,1.66448676654898,1.90827448522228,0.56593369655199,0.555929587939246,0.117671394582094,0.295444922812089,0.348039194089576,2.54495691544954
